; CSV, generated by atk_libsigrok4 1.0.0 on 2026-05-10 21:20:10
; Channels (14/16)
; ChannelsType: 32639
; Sample rate: 50 MHz
; Sample count: 2.384186 M
; Sampling time: 2026-05-10 21:19:48.397
SystemTime, Time(s), OE, LAT , A, B, C, D, E, R1, G1, B1, R2, G2, B2, CLK
'2026-05-10 21:19:48.471475760,0.008475760,0,0,1,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.471652720,0.008652720,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'2026-05-10 21:19:48.471652740,0.008652740,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.471652820,0.008652820,0,0,1,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.471652840,0.008652840,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'2026-05-10 21:19:48.471652860,0.008652860,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.471829300,0.008829300,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.472005880,0.009005880,0,0,0,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.472182440,0.009182440,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.472359000,0.009359000,0,0,0,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.472535560,0.009535560,0,0,1,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.472712500,0.009712500,0,0,0,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.472889080,0.009889080,0,0,1,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.473065640,0.010065640,0,0,1,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.473065660,0.010065660,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.473242200,0.010242200,0,0,1,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.473418780,0.010418780,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.473595740,0.010595740,0,0,1,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.473772300,0.010772300,0,0,1,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.473772320,0.010772320,0,0,0,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.473948880,0.010948880,0,0,1,0,1,1,0,0,0,0,0,0,0,0
