; CSV, generated by atk_libsigrok4 1.0.0 on 2026-05-10 21:20:10
; Channels (14/16)
; ChannelsType: 32639
; Sample rate: 50 MHz
; Sample count: 2.384186 M
; Sampling time: 2026-05-10 21:19:48.397
SystemTime, Time(s), OE, LAT , A, B, C, D, E, R1, G1, B1, R2, G2, B2, CLK
'2026-05-10 21:19:48.497792960,0.034792960,0,0,0,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.497969500,0.034969500,0,0,1,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.498146060,0.035146060,0,0,0,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.498322620,0.035322620,0,0,1,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.498499180,0.035499180,0,0,0,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.498499200,0.035499200,0,0,0,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.498676100,0.035676100,0,0,1,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.498852660,0.035852660,0,0,0,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.499029220,0.036029220,0,0,1,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.499205780,0.036205780,0,0,0,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.499382340,0.036382340,0,0,1,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.499558880,0.036558880,0,0,0,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.499735800,0.036735800,0,0,1,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.499912360,0.036912360,1,1,1,1,1,1,1,1,1,0,0,0,0,0
'2026-05-10 21:19:48.499912380,0.036912380,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.499912460,0.036912460,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'2026-05-10 21:19:48.499912480,0.036912480,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.500088900,0.037088900,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.500265440,0.037265440,0,0,0,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.500441980,0.037441980,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.500618520,0.037618520,0,0,0,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.500795440,0.037795440,0,0,1,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.500972000,0.037972000,0,0,0,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.501148560,0.038148560,0,0,1,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.501325100,0.038325100,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.501501660,0.038501660,0,0,1,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.501678600,0.038678600,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.501855180,0.038855180,0,0,1,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.502031720,0.039031720,0,0,1,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.502031740,0.039031740,0,0,0,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.502208300,0.039208300,0,0,1,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.502384860,0.039384860,0,0,0,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.502561420,0.039561420,0,0,1,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.502738340,0.039738340,0,0,0,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.502738360,0.039738360,0,0,0,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.502914900,0.039914900,0,0,1,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.503091440,0.040091440,0,0,0,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.503268000,0.040268000,0,0,1,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.503444520,0.040444520,0,0,0,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.503621060,0.040621060,0,0,1,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.503797980,0.040797980,0,0,1,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.503798000,0.040798000,0,0,0,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.503974540,0.040974540,0,0,1,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.504151100,0.041151100,0,0,0,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.504327640,0.041327640,0,0,1,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.504504160,0.041504160,0,0,1,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.504504180,0.041504180,0,0,0,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.504681100,0.041681100,0,0,1,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.504857660,0.041857660,0,0,0,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.505034220,0.042034220,0,0,1,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.505210780,0.042210780,0,0,0,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.505387340,0.042387340,0,0,1,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.505563880,0.042563880,0,0,1,1,1,1,1,1,1,0,0,0,0,0
'2026-05-10 21:19:48.505563900,0.042563900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.505564000,0.042564000,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'2026-05-10 21:19:48.505564020,0.042564020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.505740840,0.042740840,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.505917400,0.042917400,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.505917420,0.042917420,0,0,0,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.506093980,0.043093980,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.506270580,0.043270580,0,0,0,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.506447120,0.043447120,0,0,1,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.506623720,0.043623720,0,0,0,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.506800680,0.043800680,0,0,1,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.506977240,0.043977240,0,0,1,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.506977260,0.043977260,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.507153820,0.044153820,0,0,1,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.507330400,0.044330400,0,0,1,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.507330420,0.044330420,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.507506980,0.044506980,0,0,1,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.507683920,0.044683920,0,0,0,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.507860500,0.044860500,0,0,1,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.508037040,0.045037040,0,0,1,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.508037060,0.045037060,0,0,0,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.508213600,0.045213600,0,0,1,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.508390160,0.045390160,0,0,0,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.508566700,0.045566700,0,0,1,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.508743640,0.045743640,0,0,0,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.508920180,0.045920180,0,0,1,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.509096720,0.046096720,0,0,1,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.509096740,0.046096740,0,0,0,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.509273280,0.046273280,0,0,1,0,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.509449820,0.046449820,0,0,1,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.509449840,0.046449840,0,0,0,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.509626380,0.046626380,0,0,1,1,1,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.509803320,0.046803320,0,0,0,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.509803340,0.046803340,0,0,0,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.509979880,0.046979880,0,0,1,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.510156440,0.047156440,0,0,1,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.510156460,0.047156460,0,0,0,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.510333040,0.047333040,0,0,1,1,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.510509600,0.047509600,0,0,0,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.510686520,0.047686520,0,0,1,0,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.510863100,0.047863100,0,0,0,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.511039660,0.048039660,0,0,1,1,1,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.511216220,0.048216220,1,1,1,1,1,1,1,1,1,1,1,1,1,1
'2026-05-10 21:19:48.511216240,0.048216240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.511216320,0.048216320,1,1,1,1,1,1,1,1,1,1,1,1,1,0
'2026-05-10 21:19:48.511216360,0.048216360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.511392760,0.048392760,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.511569300,0.048569300,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.511569320,0.048569320,0,0,0,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.511746260,0.048746260,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.511922840,0.048922840,0,0,0,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.512099380,0.049099380,0,0,1,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.512275940,0.049275940,0,0,0,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.512452500,0.049452500,0,0,1,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.512629060,0.049629060,0,0,1,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.512629080,0.049629080,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.512806000,0.049806000,0,0,1,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.512982580,0.049982580,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.513000000,0.050000000,0,0,0,1,0,1,0,0,0,0,0,0,0,0
